,X,Time,ICS,ICC,ICE,PAGO,PEXP,BUS12,BUS5,DUR
231,231,8/28/2008,71.89944444,81.89444444,65.47611111,14.80209598,14.80209598,10.69040265,13.15741865,16.44677331
232,232,8/29/2008,62.133125,72.9575,55.178125,12.95183398,15.72722698,8.326178987,8.326178987,14.80209598
233,233,8/30/2008,78.02818182,89.73,70.51,15.47491852,17.49338615,8.073870533,16.14774107,18.83903124
234,234,8/31/2008,90.81333333,101.1166667,84.19095238,19.73612797,21.85071311,13.39237255,14.80209598,19.03126626
235,235,9/2/2008,76.43342857,80.93228571,73.54085714,11.84167678,17.76251517,13.95626192,11.84167678,19.03126626
236,236,9/3/2008,66.63566667,75.16566667,61.15433333,11.84167678,14.80209598,7.894451188,13.32188638,16.77570877
237,237,9/4/2008,62.05428571,64.71314286,60.344,11.84167678,15.225013,8.03542353,12.26459381,12.68751084
238,238,9/5/2008,74.72304348,79.33391304,71.75913043,12.87138781,19.30708171,12.22781842,10.94067964,17.37637354
239,239,9/6/2008,77.41904762,75.88714286,78.40285714,12.68751084,20.44098968,11.27778741,14.80209598,16.2118194
240,240,9/7/2008,79.12578947,67.72947368,86.44526316,10.12774988,19.47644207,15.58115366,16.36021134,15.58115366
241,241,9/8/2008,75.4184,88.2856,67.1508,14.21001214,18.94668285,12.43376062,8.289173747,19.53876669
242,242,9/9/2008,67.55142857,63.27238095,70.29952381,13.39237255,19.73612797,8.458340558,13.39237255,10.5729257
243,243,9/10/2008,81.93066667,72.64266667,87.89533333,13.81528958,19.73612797,14.80209598,17.76251517,13.81528958
